id,itemnr,name,category,description,Cost Price,Price,quantity,,,,,,,,,,,,
98,,WhirlPool - 258 Litre,Refregerator,Model - 258Roy35,21500,21500,1,,,,,,,,,,,,
99,9,WhrilPool - W/M,Washing Machine,Model - NXT621P,13900,13900,1,,,,,,,,,,,,
100,,Zebronics - Model - 27SR -2.1,Home Theater,Model - 27SR,1422,1564,0,,,,,,,,,,,,
101,2,Sony -LED - 24' ,Television ,Model - 24P412C,14803,14803,1,,,,,,,,,,,,
102,,Sony - LED - 32',Television ,Model - 32R412C,28192,30125,0,,,,,,,,,,,,
103,,LG-LED-24',Television ,Model-242B454,13300,14630,0,,,,,,,,,,,,
104,,LG - 258 Litre Model - SSPM ,Refregerator,Model - SSPM,22100,22100,1,,,,,,,,,,,,
105,,LG - 195 Litre Model - B195CRLR,Refregerator,Model-B195CRLR,12285,13513,0,,,,,,,,,,,,
106,,LG-205 Litre Model - B205KSHP,Refregerator,Model-B205KSHP,13465,14811.5,0,,,,,,,,,,,,
107,,LG-205 Litre Model - B205KSLN,Refregerator,Model - B205KSLN,13609,14969.9,0,,,,,,,,,,,,
108,,LG - Microwave Convention,Oven,Model - MC2143CB,10700,10700,1,,,,,,,,,,,,
109,,LG-195 Litre Model -B195RRLR,Refregerator,Model-3195RRLR,11895,13084,0,,,,,,,,,,,,
110,,WhrilPool - 205 Litre,Refregerator,Model - 205Roy45,15200,16720,0,,,,,,,,,,,,
111,,Godrej- 190  Litre Model - 190CT62,Refregerator,Model - 190CT62,13900,15290,0,,,,,,,,,,,,
112,,Godrej- 192  Litre Model - 192PQS62,Refregerator,Model - 192PQS62,16300,17930,0,,,,,,,,,,,,
113,,Crompton - 48' C/F - Aura,Ceiling Fan,Model - Aura,1870,1870,1,,,,,,,,,,,,
114,,Crompton - 24' - C/F - Cool Breeze,Ceiling Fan,Model - Cool Breeze,1330,1330,1,,,,,,,,,,,,
115,,Usha - 9' C/F - F/Air,Ceiling Fan,Model - F/Air,1350,1500,0,,,,,,,,,,,,
116,,Philips - Mixer Grinder HL - 7720,Mixer Grinder Toster,Model - HL - 7720,3137,3350,0,,,,,,,,,,,,
117,,Philips - Mixer Grinder HL -1632,Mixer Grinder Toster,Model - 1632,2738,2950,0,,,,,,,,,,,,
118,,Philips - Mixer Grinder HL - 1631,Mixer Grinder Toster,Model - 1631,2395,2795,0,,,,,,,,,,,,
119,,Philips - Mixer Grinder HR - 1350,Mixer Grinder Toster,Model - 1350,967,1020,0,,,,,,,,,,,,
120,,Orient - 16'  P/Q Farrata,Mixer Grinder Toster,Model - Farrata ,2820,3050,0,,,,,,,,,,,,
121,,Philips - Iron - HD,Iron,Model - HD 1134,552,600,0,,,,,,,,,,,,
122,,MagiCook - Iron- Pearl,Iron,Model - Pearl,330,360,0,,,,,,,,,,,,
123,,MagiCook - Mixer - Delight,Iron,Model - Delight,1950,2050,0,,,,,,,,,,,,
124,,Tata - Crislella,Water Filter,Model - Crislella,1350,1450,0,,,,,,,,,,,,
125,,Texla - CRT - 17',Television ,,3800,4100,0,,,,,,,,,,,,
126,,Butterfly - Sandwich Maker,Mixer Grinder Toster,Model - AGSW101,1205,1350,0,,,,,,,,,,,,
127,,Glen -Electric Ketle 9002,Mixer Grinder Toster,Model - 9002,1150,1300,0,,,,,,,,,,,,
128,,Glen -Sandwich Maker,Mixer Grinder Toster,Model - 3026,1229,1458,0,,,,,,,,,,,,
129,,Glen -Induction - 3075,Induction Cooker,Model 3075,3920,4312,0,,,,,,,,,,,,
130,,Glen -Eon,Heater,,330,363,0,,,,,,,,,,,,
131,,Glen -Mini Grinder,Mixer Grinder Toster,Model - 4045G,1385,1523,0,,,,,,,,,,,,
132,,Glen -Mixer Grinder,Mixer Grinder Toster,"Model 4025 , 350 Watt",2158,2373,0,,,,,,,,,,,,
